,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Gordie Howe,39.0,RW,74,39,43,82,12,53,29.0,10.0,0.0,4,31,12.0,0.0,301,13.0,,,8.5,1.1,9.7
1,2.0,Alex Delvecchio,35.0,C,74,22,48,70,7,14,19.0,3.0,0.0,2,36,11.0,1.0,212,10.4,,,5.7,0.9,6.6
2,3.0,Norm Ullman,32.0,C,58,30,25,55,-12,26,23.0,7.0,0.0,4,17,6.0,2.0,189,15.9,,,5.7,0.1,5.8
3,4.0,Dean Prentice,35.0,LW,69,17,38,55,7,42,12.0,4.0,1.0,2,30,7.0,1.0,174,9.8,,,3.9,0.9,4.8
4,5.0,Gary Bergman,29.0,D,74,13,28,41,-5,109,6.0,5.0,2.0,3,20,8.0,0.0,165,7.9,,,4.0,1.9,5.9
5,6.0,Gary Jarrett,25.0,LW,68,18,21,39,2,20,17.0,1.0,0.0,2,16,5.0,0.0,207,8.7,,,2.5,0.7,3.2
6,7.0,Floyd Smith,32.0,RW,57,18,21,39,3,14,12.0,5.0,1.0,2,16,5.0,0.0,132,13.6,,,3.0,0.6,3.6
7,8.0,Bruce MacGregor,26.0,RW,71,15,24,39,-19,13,14.0,1.0,0.0,0,19,5.0,0.0,165,9.1,,,2.0,0.0,2.0
8,9.0,Paul Henderson,25.0,LW,50,13,20,33,0,35,9.0,4.0,0.0,2,15,4.0,1.0,133,9.8,,,2.2,0.5,2.7
9,10.0,Ted Hampson,31.0,C,37,9,18,27,7,10,9.0,0.0,0.0,2,16,2.0,0.0,76,11.8,,,1.8,0.6,2.4
10,11.0,Howie Young,30.0,D,62,2,17,19,15,112,2.0,0.0,0.0,0,17,0.0,0.0,88,2.3,,,0.9,3.0,3.9
11,12.0,Doug Roberts,25.0,RW,37,8,9,17,-1,12,7.0,1.0,0.0,1,5,4.0,0.0,60,13.3,,,0.7,0.3,1.0
12,13.0,Kent Douglas,31.0,D,36,7,10,17,4,46,7.0,0.0,0.0,0,10,0.0,0.0,62,11.3,,,1.7,1.4,3.1
13,14.0,Frank Mahovlich,30.0,LW,13,7,9,16,3,2,7.0,0.0,0.0,1,8,1.0,0.0,39,17.9,,,1.7,0.2,1.9
14,15.0,Bart Crashley,21.0,D,57,2,14,16,5,18,2.0,0.0,0.0,0,13,1.0,0.0,85,2.4,,,0.7,2.1,2.8
15,16.0,Garry Unger,20.0,C,13,5,10,15,2,2,5.0,0.0,0.0,0,8,2.0,0.0,42,11.9,,,1.4,0.2,1.6
16,17.0,Jimmy Peters,23.0,C,45,5,6,11,-11,8,4.0,1.0,0.0,1,4,2.0,0.0,36,13.9,,,-0.5,0.0,-0.5
17,18.0,Pete Mahovlich,21.0,C,15,6,4,10,-6,13,6.0,0.0,0.0,0,4,0.0,0.0,35,17.1,,,0.9,-0.1,0.8
18,19.0,Pete Stemkowski,24.0,C,13,3,6,9,-4,4,3.0,0.0,0.0,0,6,0.0,0.0,38,7.9,,,0.6,0.0,0.6
19,20.0,Bert Marshall,24.0,D,37,1,5,6,7,56,1.0,0.0,0.0,0,4,1.0,0.0,49,2.0,,,0.0,1.7,1.7
20,21.0,Gary Marsh,21.0,LW,6,1,3,4,2,4,1.0,0.0,0.0,1,3,0.0,0.0,7,14.3,,,0.2,0.1,0.3
21,22.0,Nick Libett,22.0,LW,22,2,1,3,-13,12,1.0,1.0,0.0,0,1,0.0,0.0,29,6.9,,,-0.5,-0.3,-0.8
22,23.0,Bob Falkenberg,22.0,D,20,0,3,3,-2,10,0.0,0.0,0.0,0,3,0.0,0.0,14,0.0,,,-0.1,0.5,0.4
23,24.0,Jean-Guy Talbot,35.0,D,32,0,3,3,0,10,0.0,0.0,0.0,0,3,0.0,0.0,11,0.0,,,-0.3,1.0,0.7
24,25.0,Jim Watson,24.0,D,61,0,3,3,-19,87,0.0,0.0,0.0,0,3,0.0,0.0,56,0.0,,,-0.8,0.5,-0.4
25,26.0,Ron Anderson,22.0,RW,18,2,0,2,-4,13,2.0,0.0,0.0,0,0,0.0,0.0,21,9.5,,,-0.5,0.0,-0.4
26,27.0,John Brenneman,25.0,LW,9,0,2,2,2,0,0.0,0.0,0.0,0,2,0.0,0.0,12,0.0,,,-0.2,0.2,-0.1
27,28.0,Warren Godfrey,36.0,D,12,0,1,1,10,0,0.0,0.0,0.0,0,1,0.0,0.0,9,0.0,,,-0.1,1.1,1.0
28,29.0,Irv Spencer,30.0,D,5,0,1,1,-1,4,0.0,0.0,0.0,0,1,0.0,0.0,7,0.0,,,0.0,0.1,0.1
29,30.0,Roger Crozier,25.0,G,34,0,0,0,0,2,,,,0,0,,,0,,1728.0,50:50,0.0,0.0,3.1
30,31.0,Roy Edwards,30.0,G,41,0,0,0,0,0,,,,0,0,,,0,,2175.0,53:02,0.0,0.0,3.2
31,32.0,George Gardner,25.0,G,12,0,0,0,0,0,,,,0,0,,,0,,534.0,44:29,0.0,0.0,0.7
32,33.0,Galen Head,20.0,RW,1,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,0.0,-0.1
33,34.0,Danny Lawson,20.0,RW,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,,,0.0,0.0,0.0
34,35.0,Rick McCann,23.0,C,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,-0.1,0.0,-0.1
35,36.0,Bob McCord,33.0,D,3,0,0,0,-3,2,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,,,-0.1,-0.1,-0.2
36,37.0,Dave Richardson,27.0,LW,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,0.0,0.0
