Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
1.0,Herbie Lewis,26.0,LW,48,20,14,34,,20.0,,,,4.0,,,,,,,,5.0,1.0,6.1
2.0,Frank Carson,31.0,RW,45,12,13,25,,35.0,,,,5.0,,,,,,,,2.8,1.0,3.8
3.0,John Sorrell,27.0,LW,47,14,10,24,,11.0,,,,3.0,,,,,,,,2.9,1.0,3.9
4.0,Larry Aurie,27.0,RW,45,12,11,23,,25.0,,,,1.0,,,,,,,,2.5,1.0,3.5
5.0,Hap Emms,28.0,LW,43,9,13,22,,78.0,,,,4.0,,,,,,,,2.1,0.9,3.0
6.0,Carl Voss,26.0,C,38,6,15,21,,6.0,,,,1.0,,,,,,,,1.7,0.8,2.5
7.0,Ebbie Goodfellow,25.0,C,41,12,8,20,,47.0,,,,2.0,,,,,,,,2.3,0.9,3.2
8.0,Eddie Wiseman,20.0,RW,43,8,8,16,,16.0,,,,1.0,,,,,,,,1.1,0.9,2.1
9.0,Doug Young,24.0,D,48,5,6,11,,59.0,,,,2.0,,,,,,,,1.2,4.2,5.3
10.0,Leroy Goldsworthy,26.0,RW,25,3,6,9,,6.0,,,,0.0,,,,,,,,0.4,0.5,0.9
11.0,John Gallagher,24.0,D,34,3,5,8,,48.0,,,,0.0,,,,,,,,0.9,3.0,3.9
12.0,Stewart Evans,24.0,D,48,2,6,8,,74.0,,,,0.0,,,,,,,,0.3,4.2,4.5
13.0,George Hay,35.0,LW,34,1,6,7,,9.0,,,,1.0,,,,,,,,-0.7,0.7,0.1
14.0,Walt Buswell,25.0,D,46,2,4,6,,16.0,,,,1.0,,,,,,,,0.1,4.0,4.1
15.0,Gus Marker,25.0,RW,13,1,1,2,,8.0,,,,0.0,,,,,,,,-0.3,0.3,0.0
16.0,Ron Moffat,27.0,LW,24,1,1,2,,6.0,,,,0.0,,,,,,,,-0.8,0.5,-0.3
17.0,Bob Davis,33.0,F,3,0,0,0,,0.0,,,,0.0,,,,,,,,-0.2,0.1,-0.1
18.0,Emil Hanson,25.0,D,7,0,0,0,,6.0,,,,0.0,,,,,,,,-0.2,0.6,0.5
19.0,Reg Noble,36.0,LW,4,0,0,0,,6.0,,,,0.0,,,,,,,,-0.2,0.1,-0.1
20.0,Jack Riley,22.0,C,1,0,0,0,,,,,,,,,,,,,,-0.1,0.0,0.0
21.0,John Ross Roach,32.0,G,48,0,0,0,,0.0,,,,,,,,,,2970.0,61:53,0.0,0.0,9.9
,Team Total,,,48,111,127,238,,476.0,,,,25.0,,,,,,,,21.0,25.9,56.8
