,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Pavel Datsyuk,34.0,C,47,15,34,49,21,14,7,8,0,6,23.0,8.0,3.0,107,14.0,949.0,20:11,4.5,2.1,6.5,30.0,31,488.0,399.0,55.0
1,2.0,Henrik Zetterberg,32.0,LW,46,11,37,48,2,18,5,4,2,5,18.0,19.0,0.0,173,6.4,944.0,20:31,3.9,1.2,5.2,10.0,20,263.0,281.0,48.3
2,3.0,Johan Franzén,33.0,C,41,14,17,31,13,41,8,6,0,1,11.0,6.0,0.0,116,12.1,742.0,18:05,2.9,1.5,4.4,17.0,43,30.0,32.0,48.4
3,4.0,Niklas Kronwall,32.0,D,48,5,24,29,-5,44,3,2,0,2,10.0,14.0,0.0,67,7.5,1169.0,24:22,2.4,2.4,4.8,83.0,42,0.0,0.0,
4,5.0,Damien Brunner,26.0,C,44,12,14,26,-6,12,9,3,0,1,7.0,7.0,0.0,123,9.8,686.0,15:35,2.3,0.6,2.9,2.0,20,2.0,3.0,40.0
5,6.0,Valtteri Filppula,28.0,C,41,9,8,17,-4,6,6,3,0,0,8.0,0.0,0.0,78,11.5,729.0,17:47,0.8,0.7,1.6,12.0,16,179.0,144.0,55.4
6,7.0,Dan Cleary,34.0,LW,48,9,6,15,-6,40,3,5,1,0,6.0,0.0,0.0,93,9.7,789.0,16:27,0.5,0.7,1.2,21.0,56,11.0,12.0,47.8
7,8.0,Justin Abdelkader,25.0,LW,48,10,3,13,6,34,10,0,0,0,3.0,0.0,0.0,96,10.4,711.0,14:49,0.6,1.1,1.7,13.0,120,65.0,60.0,52.0
8,9.0,Jakub Kindl,25.0,D,41,4,9,13,15,28,3,1,0,2,7.0,2.0,0.0,76,5.3,761.0,18:33,1.0,3.1,4.1,33.0,46,0.0,0.0,
9,10.0,Jonathan Ericsson,28.0,D,45,3,10,13,6,29,3,0,0,1,10.0,0.0,0.0,34,8.8,960.0,21:19,0.6,2.8,3.5,40.0,67,0.0,0.0,
10,11.0,Cory Emmerton,24.0,C,48,5,3,8,-1,4,5,0,0,0,2.0,1.0,0.0,55,9.1,519.0,10:49,0.0,0.6,0.6,26.0,28,187.0,226.0,45.3
11,12.0,Drew Miller,28.0,LW,44,4,4,8,-8,2,3,1,0,2,4.0,0.0,0.0,54,7.4,608.0,13:49,-0.4,0.4,0.0,41.0,81,1.0,3.0,25.0
12,13.0,Joakim Andersson,23.0,C,38,3,5,8,2,8,3,0,0,0,4.0,1.0,0.0,43,7.0,459.0,12:05,-0.1,0.6,0.6,12.0,17,144.0,166.0,46.5
13,14.0,Jordin Tootoo,29.0,RW,42,3,5,8,0,78,3,0,0,1,4.0,1.0,0.0,45,6.7,381.0,9:05,0.2,0.5,0.6,7.0,68,0.0,0.0,
14,15.0,Patrick Eaves,28.0,RW,34,2,6,8,-1,4,2,0,0,1,5.0,1.0,0.0,42,4.8,360.0,10:35,0.1,0.4,0.5,11.0,40,7.0,4.0,63.6
15,16.0,Brendan Smith,23.0,D,34,0,8,8,1,36,0,0,0,0,6.0,2.0,0.0,33,0.0,626.0,18:24,0.1,1.6,1.7,35.0,20,0.0,0.0,
16,17.0,Tomas Tatar,22.0,C,18,4,3,7,2,4,3,1,0,0,3.0,0.0,0.0,32,12.5,205.0,11:22,0.7,0.3,1.0,5.0,9,1.0,0.0,100.0
17,18.0,Gustav Nyquist,23.0,LW,22,3,3,6,0,6,3,0,0,0,1.0,2.0,0.0,46,6.5,287.0,13:02,0.2,0.4,0.5,3.0,2,1.0,3.0,25.0
18,19.0,Brian Lashoff,22.0,D,31,1,4,5,-10,15,1,0,0,0,4.0,0.0,0.0,26,3.8,551.0,17:47,0.0,0.5,0.5,43.0,44,0.0,0.0,
19,20.0,Ian White,28.0,D,25,2,2,4,5,4,2,0,0,0,2.0,0.0,0.0,27,7.4,490.0,19:35,0.1,1.6,1.7,32.0,14,1.0,0.0,100.0
20,21.0,Todd Bertuzzi,37.0,RW,7,2,1,3,3,2,2,0,0,0,1.0,0.0,0.0,10,20.0,109.0,15:31,0.3,0.3,0.5,1.0,6,0.0,0.0,
21,22.0,Kyle Quincey,27.0,D,36,1,2,3,7,18,1,0,0,0,1.0,1.0,0.0,36,2.8,692.0,19:13,-0.4,2.3,1.9,46.0,29,0.0,0.0,
22,23.0,Carlo Colaiacovo,30.0,D,6,0,1,1,-4,2,0,0,0,0,0.0,1.0,0.0,12,0.0,113.0,18:55,0.0,-0.1,-0.1,10.0,12,0.0,0.0,
23,24.0,Danny DeKeyser,22.0,D,11,0,1,1,4,2,0,0,0,0,1.0,0.0,0.0,15,0.0,199.0,18:03,-0.1,0.8,0.7,9.0,9,0.0,0.0,
24,25.0,Jonas Gustavsson,28.0,G,7,0,1,1,0,2,0,0,0,0,,,,0,,349.0,49:54,0.0,0.0,0.3,0.0,0,0.0,0.0,
25,26.0,Jimmy Howard,28.0,G,42,0,1,1,0,0,0,0,0,0,,,,0,,2446.0,58:14,0.0,0.0,8.4,0.0,0,0.0,0.0,
26,27.0,Mikael Samuelsson,36.0,RW,4,0,1,1,-3,0,0,0,0,0,1.0,0.0,0.0,4,0.0,51.0,12:52,0.0,-0.1,-0.1,1.0,6,0.0,0.0,
27,28.0,Darren Helm,26.0,C,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,1,0.0,12.0,12:27,0.0,0.0,0.0,0.0,4,6.0,8.0,42.9
28,29.0,Kent Huskins,33.0,D,11,0,0,0,-3,4,0,0,0,0,0.0,0.0,0.0,2,0.0,169.0,15:21,-0.2,0.2,-0.1,17.0,15,0.0,0.0,
29,30.0,Petr Mrazek,20.0,G,2,0,0,0,0,0,0,0,0,0,,,,0,,119.0,59:35,0.0,0.0,0.4,,0,,,
30,31.0,Jan Mursak,25.0,LW,2,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,,11.0,5:39,0.0,0.0,0.0,0.0,0,1.0,1.0,50.0
31,32.0,Riley Sheahan,21.0,C,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,7.0,6:47,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
